section,source_table,cohort,method,candidate,reference,seed,aggregation,scope,condition,angle_degrees,metric,statistic,value,unit,sample_sd,ci95_low,ci95_high,images,rows,groups,source_seeds,ensemble_members,notes
main_results,syncg/summary.csv,syncg,raw_efficientnet_b0_six_condition,,,,equal_ensemble,all_conditions,,,acc_at_2_pct,value,96.025,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,raw_efficientnet_b0_six_condition,,,,equal_ensemble,all_conditions,,,acc_at_5_pct,value,99.27916666666667,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,raw_efficientnet_b0_six_condition,,,,equal_ensemble,all_conditions,,,coverage_pct,value,100.0,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,relational_only,,,,seed_mean,all_conditions,,,nmae_pct_fs,value,0.7514470879362003,percent_full_scale_or_percent,0.02311677204074034,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,relational_only,,,,seed_mean,all_conditions,,,rmse_pct_fs,value,1.7646106261072232,percent_full_scale_or_percent,0.04943309597027757,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,relational_only,,,,seed_mean,all_conditions,,,acc_at_1_pct,value,80.93611111111112,percent_full_scale_or_percent,0.9285810311876342,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,relational_only,,,,seed_mean,all_conditions,,,acc_at_2_pct,value,93.81388888888888,percent_full_scale_or_percent,0.33224649205293844,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,relational_only,,,,seed_mean,all_conditions,,,acc_at_5_pct,value,98.88611111111112,percent_full_scale_or_percent,0.02956082868582444,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,relational_only,,,,seed_mean,all_conditions,,,coverage_pct,value,100.0,percent_full_scale_or_percent,0.0,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,relational_only,,,,equal_ensemble,all_conditions,,,nmae_pct_fs,value,0.6416926107547525,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
