figure_id,panel,source_table,cohort,method,reference,aggregation,scope,condition,angle_degrees,metric,value,sample_sd,ci95_low,ci95_high,images,groups,unit
table_main,frozen_transfer,rf100/summary.csv,rf100,relational_only,,seed_mean,all_conditions,,,nmae_pct_fs,3.1979767824530003,0.24782425013573356,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,relational_only,,seed_mean,all_conditions,,,acc_at_2_pct,55.923473142016185,0.06372519527479269,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,relational_only,,seed_mean,all_conditions,,,acc_at_5_pct,84.98896247240617,0.11037527593818908,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,relational_only,,seed_mean,all_conditions,,,coverage_pct,100.0,0.0,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,scalar_gate,,seed_mean,all_conditions,,,nmae_pct_fs,3.2059971982581685,0.2548741914505724,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,scalar_gate,,seed_mean,all_conditions,,,acc_at_2_pct,55.776306107431935,0.6276203866531211,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,scalar_gate,,seed_mean,all_conditions,,,acc_at_5_pct,85.09933774834438,0.22075055187638526,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,scalar_gate,,seed_mean,all_conditions,,,coverage_pct,100.0,0.0,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,uniform,,seed_mean,all_conditions,,,nmae_pct_fs,3.487841999418677,0.3381087229476564,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,uniform,,seed_mean,all_conditions,,,acc_at_2_pct,52.060338484179546,2.279011135533269,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,uniform,,seed_mean,all_conditions,,,acc_at_5_pct,82.30316409124357,1.3075316882941,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,uniform,,seed_mean,all_conditions,,,coverage_pct,100.0,0.0,,,151,35,percent_full_scale_or_percent
table_paired,all_conditions,rf100/paired.csv,rf100,base_only,full,seed_mean,all_conditions,,,candidate_minus_reference,0.055720251995173775,,0.0017232461723604704,0.12311284779335814,151,35,native_metric
