数据集,对照方法,参考方法,评测条件,统计方式,NMAE差值（%FS）,NMAE差值95%CI,Acc@5%差值（百分点）,Acc@5%差值95%CI
SyncG,仅关系专家,GeoPRR完整模型,重度模糊,三seed平均,0.024941,"[0.022337, 0.027511]",0.016667,"[-0.016469, 0.050314]"
SyncG,11标量MLP门控,GeoPRR完整模型,重度模糊,三seed平均,0.002346,"[0.001588, 0.003099]",0.008333,"[0.000000, 0.025491]"
SyncG,三专家等权混合,GeoPRR完整模型,重度模糊,三seed平均,0.004176,"[0.003188, 0.005140]",0.016667,"[0.000000, 0.041982]"
SyncG,仅几何/基础专家,GeoPRR完整模型,重度模糊,三模型等权集成,0.021299,"[0.018223, 0.024390]",0.05,"[0.000000, 0.126486]"
SyncG,简单双视图回归,GeoPRR完整模型,重度模糊,三模型等权集成,-0.014236,"[-0.024539, -0.004447]",-0.05,"[-0.150188, 0.049615]"
SyncG,固定先验混合,GeoPRR完整模型,重度模糊,三模型等权集成,0.006372,"[0.004833, 0.007913]",0.025,"[0.000000, 0.076336]"
SyncG,线性增益头,GeoPRR完整模型,重度模糊,三模型等权集成,0.000397,"[-0.000082, 0.000877]",0,"[0.000000, 0.000000]"
SyncG,去几何融合+固定路由,GeoPRR完整模型,重度模糊,三模型等权集成,0.006372,"[0.004833, 0.007913]",0.025,"[0.000000, 0.076336]"
SyncG,去几何融合,GeoPRR完整模型,重度模糊,三模型等权集成,-0.000887,"[-0.001425, -0.000339]",0,"[0.000000, 0.000000]"
SyncG,去极坐标证据,GeoPRR完整模型,重度模糊,三模型等权集成,0.021299,"[0.018223, 0.024390]",0.05,"[0.000000, 0.126486]"
SyncG,去关系传输,GeoPRR完整模型,重度模糊,三模型等权集成,-0.000535,"[-0.001011, -0.000073]",0,"[0.000000, 0.000000]"
SyncG,仅极坐标专家,GeoPRR完整模型,重度模糊,三模型等权集成,-0.007456,"[-0.011176, -0.003767]",0,"[0.000000, 0.000000]"
SyncG,Raw B0（六条件增强）,GeoPRR完整模型,重度模糊,三模型等权集成,0.009419,"[-0.013310, 0.033475]",0.05,"[-0.176412, 0.277148]"
SyncG,仅关系专家,GeoPRR完整模型,重度模糊,三模型等权集成,0.021299,"[0.018223, 0.024390]",0.05,"[0.000000, 0.126486]"
SyncG,11标量MLP门控,GeoPRR完整模型,重度模糊,三模型等权集成,0.001213,"[0.000369, 0.002044]",0.025,"[0.000000, 0.076336]"
SyncG,三专家等权混合,GeoPRR完整模型,重度模糊,三模型等权集成,0.00255,"[0.001463, 0.003642]",0.025,"[0.000000, 0.076336]"
SyncG,仅几何/基础专家,GeoPRR完整模型,中度透视,三seed平均,0.036378,"[0.029983, 0.042702]",0.008333,"[-0.066385, 0.075950]"
SyncG,简单双视图回归,GeoPRR完整模型,中度透视,三seed平均,0.000444,"[-0.011523, 0.012188]",0.041667,"[-0.059433, 0.148924]"
SyncG,固定先验混合,GeoPRR完整模型,中度透视,三seed平均,0.078476,"[0.069915, 0.087857]",-0.125,"[-0.238684, -0.024618]"
SyncG,线性增益头,GeoPRR完整模型,中度透视,三seed平均,0.000357,"[-0.001193, 0.001972]",-0.016667,"[-0.050441, 0.016534]"
SyncG,去几何融合+固定路由,GeoPRR完整模型,中度透视,三seed平均,0.520443,"[0.497767, 0.543760]",-0.691667,"[-0.909927, -0.487402]"
SyncG,去几何融合,GeoPRR完整模型,中度透视,三seed平均,0.433654,"[0.414302, 0.453659]",-0.525,"[-0.718826, -0.342547]"
SyncG,去极坐标证据,GeoPRR完整模型,中度透视,三seed平均,-0.004213,"[-0.006732, -0.001712]",-0.016667,"[-0.042215, 0.000000]"
SyncG,去关系传输,GeoPRR完整模型,中度透视,三seed平均,0.056084,"[0.049914, 0.062244]",-0.033333,"[-0.118987, 0.042955]"
SyncG,仅极坐标专家,GeoPRR完整模型,中度透视,三seed平均,0.656146,"[0.624602, 0.689986]",-1.258333,"[-1.545638, -0.978386]"
SyncG,Raw B0（六条件增强）,GeoPRR完整模型,中度透视,三seed平均,-0.052222,"[-0.078753, -0.025091]",0.125,"[-0.025297, 0.287498]"
SyncG,仅关系专家,GeoPRR完整模型,中度透视,三seed平均,-0.009049,"[-0.013266, -0.004848]",-0.025,"[-0.065248, 0.008394]"
SyncG,11标量MLP门控,GeoPRR完整模型,中度透视,三seed平均,-0.008978,"[-0.010763, -0.007181]",-0.016667,"[-0.042066, 0.000000]"
SyncG,三专家等权混合,GeoPRR完整模型,中度透视,三seed平均,0.115958,"[0.105247, 0.127656]",-0.208333,"[-0.346363, -0.082960]"
SyncG,仅几何/基础专家,GeoPRR完整模型,中度透视,三模型等权集成,0.027769,"[0.020777, 0.034864]",0.05,"[-0.049739, 0.150414]"
SyncG,简单双视图回归,GeoPRR完整模型,中度透视,三模型等权集成,-0.017047,"[-0.030198, -0.004093]",0.075,"[-0.025038, 0.196947]"
SyncG,固定先验混合,GeoPRR完整模型,中度透视,三模型等权集成,0.090792,"[0.080762, 0.101597]",-0.125,"[-0.249004, -0.025082]"
SyncG,线性增益头,GeoPRR完整模型,中度透视,三模型等权集成,0.000285,"[-0.001195, 0.001836]",0,"[0.000000, 0.000000]"
SyncG,去几何融合+固定路由,GeoPRR完整模型,中度透视,三模型等权集成,0.54593,"[0.521714, 0.571400]",-0.575,"[-0.829774, -0.339055]"
SyncG,去几何融合,GeoPRR完整模型,中度透视,三模型等权集成,0.45726,"[0.436207, 0.479010]",-0.4,"[-0.624536, -0.201410]"
SyncG,去极坐标证据,GeoPRR完整模型,中度透视,三模型等权集成,-0.009291,"[-0.012312, -0.006246]",0.025,"[0.000000, 0.076394]"
SyncG,去关系传输,GeoPRR完整模型,中度透视,三模型等权集成,0.059499,"[0.052121, 0.066941]",-0.025,"[-0.123244, 0.050518]"
SyncG,仅极坐标专家,GeoPRR完整模型,中度透视,三模型等权集成,0.658963,"[0.625224, 0.695263]",-1,"[-1.358065, -0.662252]"
SyncG,Raw B0（六条件增强）,GeoPRR完整模型,中度透视,三模型等权集成,-0.033955,"[-0.062591, -0.005165]",-0.025,"[-0.254336, 0.220376]"
SyncG,仅关系专家,GeoPRR完整模型,中度透视,三模型等权集成,-0.019543,"[-0.024357, -0.014718]",0.025,"[0.000000, 0.076394]"
SyncG,11标量MLP门控,GeoPRR完整模型,中度透视,三模型等权集成,-0.01079,"[-0.012752, -0.008763]",0.025,"[0.000000, 0.076394]"
SyncG,三专家等权混合,GeoPRR完整模型,中度透视,三模型等权集成,0.13127,"[0.119149, 0.144373]",-0.25,"[-0.406920, -0.101883]"
SyncG,仅几何/基础专家,GeoPRR完整模型,重度透视,三seed平均,0.102477,"[0.090673, 0.114385]",-0.183333,"[-0.300077, -0.073710]"
