method,seed,preprocessing,cohort,cohort_name,cohort_images,group_unit,scope,conditions,groups,rows,pooled_coverage,pooled_nmae,pooled_rmse,pooled_acc_at_1_percent,pooled_acc_at_2_percent,pooled_acc_at_5_percent,pooled_p95_absolute_error,pooled_p99_absolute_error,pooled_maximum_absolute_error,group_macro_coverage,group_macro_nmae,group_macro_rmse,group_macro_acc_at_1_percent,group_macro_acc_at_2_percent,group_macro_acc_at_5_percent,group_macro_p95_absolute_error,group_macro_p99_absolute_error,group_macro_maximum_absolute_error
Raw EfficientNet-B0,20262022,raw,industrial_1395,Industrial-1395,1395,acquisition cluster,combined_severe,combined_severe,52,1395,1.0,0.25255883672056517,0.2958415286148092,0.01935483870967742,0.034408602150537634,0.07956989247311828,0.5388738369941711,0.6129609167575834,0.6952937841415405,1.0,0.25346657333531747,0.28154610106587913,0.01887551857627097,0.032961744240419394,0.08428576944703431,0.416863431763649,0.45641094086009715,0.47034815315157175
Raw EfficientNet-B0,20262022,raw,industrial_1395,Industrial-1395,1395,acquisition cluster,projective_pooled,perspective_moderate;perspective_severe;combined_severe,52,4185,1.0,0.21410859211845104,0.2675974173641237,0.03727598566308244,0.06881720430107527,0.16654719235364396,0.5225337767601013,0.6123855328559874,0.7786945104598999,1.0,0.22514239628771388,0.2588740384689058,0.03097024265405303,0.059542241673542315,0.14820848451850407,0.4167584552346896,0.4699654417582429,0.4958701235734117
SARN-v2 + EfficientNet-B0,20262020,sarn_v2,industrial_1395,Industrial-1395,1395,acquisition cluster,all_conditions,clean;blur_moderate;blur_severe;perspective_moderate;perspective_severe;combined_severe,52,8370,1.0,0.10268056002017015,0.16480663957965846,0.07287933094384708,0.18876941457586618,0.4956989247311828,0.4151680946350096,0.582405648231506,0.8398405313491821,1.0,0.11399946490768725,0.1365769439518523,0.06397549217349544,0.15175345063209422,0.39221603772437547,0.23308627433453516,0.3022522714834756,0.340690118922255
SARN-v2 + EfficientNet-B0,20262020,sarn_v2,industrial_1395,Industrial-1395,1395,acquisition cluster,clean,clean,52,1395,1.0,0.09797361975447536,0.16300609309507125,0.07813620071684588,0.21433691756272402,0.5369175627240144,0.417439544200897,0.6041086483001709,0.7919522523880005,1.0,0.10941121797501273,0.12963169619215617,0.08051706542314772,0.17303319721832297,0.4293755557558535,0.20525028720689123,0.23776097440404384,0.2515431535098797
SARN-v2 + EfficientNet-B0,20262020,sarn_v2,industrial_1395,Industrial-1395,1395,acquisition cluster,blur_moderate,blur_moderate,52,1395,1.0,0.09739916606736831,0.16231049521904617,0.07168458781362007,0.21935483870967742,0.5376344086021505,0.4163848668336868,0.6054770863056179,0.7946974635124207,1.0,0.10911623840503742,0.12833777554229442,0.07077226764956955,0.17002201266644074,0.41574585535289726,0.20234418582592445,0.23362916631093195,0.24663090877282695
SARN-v2 + EfficientNet-B0,20262020,sarn_v2,industrial_1395,Industrial-1395,1395,acquisition cluster,blur_severe,blur_severe,52,1395,1.0,0.10037291586253093,0.1648641943118723,0.060215053763440864,0.2,0.5175627240143369,0.4232772737741469,0.5950466513633726,0.763780951499939,1.0,0.11451321907681561,0.13366791878123846,0.05334849186264529,0.1708935881690538,0.40197437109349904,0.20640965580000328,0.2437739755225993,0.25784643331590373
SARN-v2 + EfficientNet-B0,20262020,sarn_v2,industrial_1395,Industrial-1395,1395,acquisition cluster,perspective_moderate,perspective_moderate,52,1395,1.0,0.0981368839767974,0.16162573221279172,0.07311827956989247,0.1813620071684588,0.5053763440860215,0.4045030206441879,0.5908386325836171,0.8398405313491821,1.0,0.10944977924076874,0.13128799885419715,0.06214366707105842,0.14091459609059315,0.4074617314595819,0.21122333255184286,0.25604326922762943,0.27450314091719114
SARN-v2 + EfficientNet-B0,20262020,sarn_v2,industrial_1395,Industrial-1395,1395,acquisition cluster,perspective_severe,perspective_severe,52,1395,1.0,0.10775038067349896,0.1669110559068528,0.07813620071684588,0.16989247311827957,0.45161290322580644,0.4176312834024427,0.5605413806438444,0.7138339281082153,1.0,0.11534850431927729,0.13691656156270146,0.060434938817423296,0.132989544932484,0.3658649080549546,0.2263134736637561,0.26703475771119195,0.2816669442882904
SARN-v2 + EfficientNet-B0,20262020,sarn_v2,industrial_1395,Industrial-1395,1395,acquisition cluster,combined_severe,combined_severe,52,1395,1.0,0.11445039378634989,0.1699685470594523,0.07598566308243727,0.14767025089605734,0.425089605734767,0.40521863996982554,0.5353867638111113,0.606993556022644,1.0,0.12615783042921175,0.14715412641889142,0.05663652221712834,0.12266776471567065,0.3328738046294665,0.2387477942172963,0.27646238460477723,0.29063193407960425
SARN-v2 + EfficientNet-B0,20262020,sarn_v2,industrial_1395,Industrial-1395,1395,acquisition cluster,projective_pooled,perspective_moderate;perspective_severe;combined_severe,52,4185,1.0,0.10677921947888208,0.16620417652871308,0.07574671445639188,0.16630824372759856,0.46069295101553165,0.41062838435173027,0.5559245920181272,0.8398405313491821,1.0,0.11698537132975259,0.1397125535971506,0.05973837603520335,0.13219063524624924,0.3687334813813343,0.2412263617154879,0.2991019231918053,0.3283020730198194
SARN-v2 + EfficientNet-B0,20262021,sarn_v2,industrial_1395,Industrial-1395,1395,acquisition cluster,all_conditions,clean;blur_moderate;blur_severe;perspective_moderate;perspective_severe;combined_severe,52,8370,1.0,0.13185918660189574,0.2054326798243435,0.0955794504181601,0.2034647550776583,0.4332138590203106,0.4781586751341818,0.6835288667678833,0.9360417723655701,1.0,0.15792405786757346,0.1928590356736309,0.07648197970211343,0.15217597910916622,0.3391711753320327,0.35071853964020233,0.4216006016768707,0.4536319558777106
SARN-v2 + EfficientNet-B0,20262021,sarn_v2,industrial_1395,Industrial-1395,1395,acquisition cluster,clean,clean,52,1395,1.0,0.135514180267847,0.2130177543684252,0.0910394265232975,0.22652329749103942,0.45161290322580644,0.4910504031181334,0.7056899106502528,0.8970658183097839,1.0,0.16444659517625787,0.19592555180437202,0.060260965007492416,0.15288868641559897,0.33970237811265347,0.32213338029552724,0.3738232890925289,0.394430825566061
SARN-v2 + EfficientNet-B0,20262021,sarn_v2,industrial_1395,Industrial-1395,1395,acquisition cluster,blur_moderate,blur_moderate,52,1395,1.0,0.13481186322816063,0.21215041611220062,0.0967741935483871,0.23010752688172043,0.44802867383512546,0.493338685631752,0.6779537582397447,0.8972679376602173,1.0,0.1635187890281351,0.19528991298315557,0.07196727625210736,0.16271288998980254,0.3304062664229248,0.32028331122730785,0.37260542034499056,0.3939305111464973
SARN-v2 + EfficientNet-B0,20262021,sarn_v2,industrial_1395,Industrial-1395,1395,acquisition cluster,blur_severe,blur_severe,52,1395,1.0,0.13968326730927721,0.21811896614151913,0.09247311827956989,0.2129032258064516,0.43154121863799283,0.5149330615997314,0.684380829334259,0.9360417723655701,1.0,0.16557676002939828,0.19745366533765832,0.07091852099810113,0.15425965320472318,0.3176596874781344,0.32420443568436474,0.37442405395559103,0.39233942132825267
SARN-v2 + EfficientNet-B0,20262021,sarn_v2,industrial_1395,Industrial-1395,1395,acquisition cluster,perspective_moderate,perspective_moderate,52,1395,1.0,0.12534674914661026,0.2007639640201272,0.10967741935483871,0.2050179211469534,0.45161290322580644,0.4804965138435363,0.7244198417663574,0.8764646649360657,1.0,0.15218131140352847,0.18745720174603886,0.09060544346506674,0.15802758128237374,0.3650131640978279,0.3225004967785989,0.37661521194674646,0.3934085776070372
SARN-v2 + EfficientNet-B0,20262021,sarn_v2,industrial_1395,Industrial-1395,1395,acquisition cluster,perspective_severe,perspective_severe,52,1395,1.0,0.13155839120620502,0.20064577133182399,0.09462365591397849,0.18064516129032257,0.4114695340501792,0.45793648719787594,0.6680524349212642,0.8943241834640503,1.0,0.1533820253633689,0.1876597939476628,0.08660865125826638,0.15316434286028996,0.34211838195169963,0.3226847755288944,0.37128249843939365,0.3901876399394793
