comparison,dataset,scope,definition,candidate_better_groups,tied_groups,candidate_worse_groups,candidate_better_group_fraction,median_group_delta_pct_fs
geoprr_minus_deeplab,industrial,combined_severe,compare row-mean errors within each source group after averaging source-seed errors,52,0,0,1.0,-60.94287629930257
geoprr_minus_resnet18,industrial,perspective_pair,compare row-mean errors within each source group after averaging source-seed errors,38,0,14,0.7307692307692307,-6.042151699719749
geoprr_minus_efficientnet_b0,industrial,perspective_pair,compare row-mean errors within each source group after averaging source-seed errors,39,0,13,0.75,-2.247941480930349
geoprr_minus_mobilenet_v3_large,industrial,perspective_pair,compare row-mean errors within each source group after averaging source-seed errors,29,0,23,0.5576923076923077,-4.335410812376067
geoprr_minus_yolo,industrial,perspective_pair,compare row-mean errors within each source group after averaging source-seed errors,52,0,0,1.0,-29.65843210199569
geoprr_minus_vdn,industrial,perspective_pair,compare row-mean errors within each source group after averaging source-seed errors,52,0,0,1.0,-29.90511148004724
geoprr_minus_deeplab,industrial,perspective_pair,compare row-mean errors within each source group after averaging source-seed errors,52,0,0,1.0,-47.351590495742386
geoprr_minus_resnet18,industrial,projective_three,compare row-mean errors within each source group after averaging source-seed errors,39,0,13,0.75,-8.688315906910976
geoprr_minus_efficientnet_b0,industrial,projective_three,compare row-mean errors within each source group after averaging source-seed errors,38,0,14,0.7307692307692307,-2.26563181468849
geoprr_minus_mobilenet_v3_large,industrial,projective_three,compare row-mean errors within each source group after averaging source-seed errors,30,0,22,0.5769230769230769,-4.9299251092415215
geoprr_minus_yolo,industrial,projective_three,compare row-mean errors within each source group after averaging source-seed errors,52,0,0,1.0,-33.68173200983425
geoprr_minus_vdn,industrial,projective_three,compare row-mean errors within each source group after averaging source-seed errors,52,0,0,1.0,-34.19620168201045
geoprr_minus_deeplab,industrial,projective_three,compare row-mean errors within each source group after averaging source-seed errors,52,0,0,1.0,-51.42942274913716
